id;Nodo origen;Nodo destino;Tipo relacion;frecuencia;detalle;id_flujo;descripcion_flujo;secuencia_flujo;cypher
59;Datalake;PBIPlaneamiento;DIARIO;Diario;Informaci¢n de clientes;0;tbd;0;"CREATE (Datalake)-[frecuencia:DIARIO{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(PBIPlaneamiento);"

60;PBIPlaneamiento;Excel_Planeamiento;DIARIO;Diario;Saldos y valor de fondos x cliente;0;tbd;0;"CREATE (PBIPlaneamiento)-[frecuencia:DIARIO{detalle:""Saldos y valor de fondos x cliente"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Excel_Planeamiento);"

61;Excel_Planeamiento;WebClientesPE;DIARIO;Diario;Saldos y valor de fondos x cliente;0;tbd;0;"CREATE (Excel_Planeamiento)-[frecuencia:DIARIO{detalle:""Saldos y valor de fondos x cliente"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(WebClientesPE);"

62;BloombergCO;ReporteadorClientesLocales;DIARIO;Diario;Portafolios | Activos operados;1;tbd;1;"CREATE (BloombergCO)-[frecuencia:DIARIO{detalle:""Portafolios | Activos operados"", id_flujo:1, descripcion_flujo:""tbd"", secuencia_flujo:1}]->(ReporteadorClientesLocales);"

63;CorInterno;ReporteadorClientesLocales;DIARIO;Diario;Portafolios | Activos operados;1;tbd;1;"CREATE (CorInterno)-[frecuencia:DIARIO{detalle:""Portafolios | Activos operados"", id_flujo:1, descripcion_flujo:""tbd"", secuencia_flujo:1}]->(ReporteadorClientesLocales);"

64;BloombergCO;ReporteadorATFADR;DIARIO;Diario;EMSX y Blotter RFI;2;tbd;1;"CREATE (BloombergCO)-[frecuencia:DIARIO{detalle:""EMSX y Blotter RFI"", id_flujo:2, descripcion_flujo:""tbd"", secuencia_flujo:1}]->(ReporteadorATFADR);"

65;FidessaCO;DailyManagement;DIARIO;Diario;Fidessa Trades y Fidessa Folios;3;tbd;1;"CREATE (FidessaCO)-[frecuencia:DIARIO{detalle:""Fidessa Trades y Fidessa Folios"", id_flujo:3, descripcion_flujo:""tbd"", secuencia_flujo:1}]->(DailyManagement);"

66;DailyManagement;RepProformaClientesMdK;DIARIO;Diario;;2;tbd;2;"CREATE (DailyManagement)-[frecuencia:DIARIO{detalle:"""", id_flujo:2, descripcion_flujo:""tbd"", secuencia_flujo:2}]->(RepProformaClientesMdK);"

67;DailyManagement;RepEjecutivaMdk;DIARIO;Diario;;2;tbd;2;"CREATE (DailyManagement)-[frecuencia:DIARIO{detalle:"""", id_flujo:2, descripcion_flujo:""tbd"", secuencia_flujo:2}]->(RepEjecutivaMdk);"

68;ReporteadorClientesLocales;RepProformaClientesMdK;DIARIO;Diario;;1;tbd;2;"CREATE (ReporteadorClientesLocales)-[frecuencia:DIARIO{detalle:"""", id_flujo:1, descripcion_flujo:""tbd"", secuencia_flujo:2}]->(RepProformaClientesMdK);"

69;ReporteadorClientesLocales;RepEjecutivaMdk;DIARIO;Diario;;2;tbd;2;"CREATE (ReporteadorClientesLocales)-[frecuencia:DIARIO{detalle:"""", id_flujo:2, descripcion_flujo:""tbd"", secuencia_flujo:2}]->(RepEjecutivaMdk);"

70;ReporteadorETFADR;RepProformaClientesMdK;DIARIO;Diario;;1;tbd;2;"CREATE (ReporteadorETFADR)-[frecuencia:DIARIO{detalle:"""", id_flujo:1, descripcion_flujo:""tbd"", secuencia_flujo:2}]->(RepProformaClientesMdK);"

71;ReporteadorETFADR;RepEjecutivaMdk;DIARIO;Diario;;2;tbd;2;"CREATE (ReporteadorETFADR)-[frecuencia:DIARIO{detalle:"""", id_flujo:2, descripcion_flujo:""tbd"", secuencia_flujo:2}]->(RepEjecutivaMdk);"

72;Excel_Instrumentos;Mantenedor;DIARIO;Diario;Entrega de distribuci¢n masiva de instrumentos;99;tbd;1;"CREATE (Excel_Instrumentos)-[frecuencia:DIARIO{detalle:""Entrega de distribuci¢n masiva de instrumentos"", id_flujo:99, descripcion_flujo:""tbd"", secuencia_flujo:1}]->(Mantenedor);"

73;Mantenedor;RU;DIARIO;Diario;Instrumentos actualizados;99;tbd;2;"CREATE (Mantenedor)-[frecuencia:DIARIO{detalle:""Instrumentos actualizados"", id_flujo:99, descripcion_flujo:""tbd"", secuencia_flujo:2}]->(RU);"

74;PershingCL;SGCartolas;DIARIO;Diario;Origen de corretaje y asesor¡a;98;Cartolas;1;"CREATE (PershingCL)-[frecuencia:DIARIO{detalle:""Origen de corretaje y asesor¡a"", id_flujo:98, descripcion_flujo:""Cartolas"", secuencia_flujo:1}]->(SGCartolas);"

75;SGCartolas;RU;DIARIO;Diario;Generaci¢n de Cartolas;98;Cartolas;2;"CREATE (SGCartolas)-[frecuencia:DIARIO{detalle:""Generaci¢n de Cartolas"", id_flujo:98, descripcion_flujo:""Cartolas"", secuencia_flujo:2}]->(RU);"

76;RU;Cartolas;DIARIO;Diario;Informaci¢n de cartolas;98;Cartolas;3;"CREATE (RU)-[frecuencia:DIARIO{detalle:""Informaci¢n de cartolas"", id_flujo:98, descripcion_flujo:""Cartolas"", secuencia_flujo:3}]->(Cartolas);"

77;Cartolas;Sendgrid;DIARIO;Diario;Entrega de cartolas a clientes via email;98;Cartolas;4;"CREATE (Cartolas)-[frecuencia:DIARIO{detalle:""Entrega de cartolas a clientes via email"", id_flujo:98, descripcion_flujo:""Cartolas"", secuencia_flujo:4}]->(Sendgrid);"

78;Excel_Sobreventa;GestionBCS;DIARIO;Diario;;97;Cuadratura custodia;1;

